alpha,metric,mean,std,ci_lower,ci_upper
2.1,mean_wait,0.023854338149549438,0.0022596203512758673,0.022796803272112715,0.02491187302698616
2.1,mean_response,0.10725467942511455,0.0024360606339106816,0.10611456795353193,0.10839479089669717
2.1,p95_response,0.253027127664749,0.012062025153864156,0.24738192612214124,0.2586723292073567
2.1,p99_response,0.4625186156027885,0.03108825308314967,0.4479688652894463,0.4770683659161307
2.1,throughput,100.0517606195641,0.24873231597258877,99.93535031234674,100.16817092678147
2.5,mean_wait,0.01893097387137484,0.0008448605275187608,0.018535566973080536,0.019326380769669145
2.5,mean_response,0.10233892528611317,0.0009673480419522866,0.10188619246645741,0.10279165810576893
2.5,p95_response,0.21494103498732944,0.0037350986819528528,0.2131929549947755,0.21668911497988338
2.5,p99_response,0.3626281314312371,0.011363487063190831,0.35730985577849755,0.3679464070839767
2.5,throughput,100.07968432829973,0.21978199408399923,99.97682318879673,100.18254546780274
3.0,mean_wait,0.015823346972992407,0.0005456042611226605,0.015567996318582912,0.016078697627401904
3.0,mean_response,0.0991779745617117,0.0006017581431201887,0.09889634308155094,0.09945960604187244
3.0,p95_response,0.1890949163257355,0.0024401859415782955,0.18795287415073353,0.19023695850073746
3.0,p99_response,0.2909534291562088,0.005505091449520562,0.28837696704917415,0.29352989126324347
3.0,throughput,100.02323691328866,0.22323575762801176,99.91875936269068,100.12771446388663
