reliability,n_threads,paper_mean_delivery,our_simulated,our_analytical,error_vs_paper_pct
q_99%,4,0.38,0.3259055938085955,0.330892455382887,14.235370050369603
q_99%,5,0.31,0.23529195339063444,0.24543183995535942,24.09936987398889
q_99%,6,0.26,0.21717531557163017,0.22721544651689796,16.471032472449938
q_99%,7,0.23,0.21312971729603042,0.22214362603884294,7.334905523465039
q_99%,8,0.21,0.21549779256791812,0.22066846998276374,2.6179964609133957
q_99%,9,0.195,0.2144336561489192,0.22024997022718817,9.965977512266258
q_99%,10,0.185,0.21486825509831572,0.2201372146070013,16.14500275584634
q_88%,4,0.52,0.29827777096363095,0.40255438813205113,42.63889019930174
q_88%,5,0.39,0.23073313224363112,0.256689149176756,40.83765839906894
q_88%,6,0.31,0.22307071607274134,0.23120682810035156,28.04170449266408
q_88%,7,0.265,0.2230302690085206,0.22418592440237373,15.837634336407325
q_88%,8,0.235,0.21806872257456963,0.22207703490742176,7.204798904438448
q_88%,9,0.215,0.21742850849947967,0.22144685346621334,1.129538836967291
q_88%,10,0.2,0.2169996265713753,0.2212658504279513,8.49981328568765
