n_threads,service_time_ms,service_rate,mean_delivery_time,queue_length,sender_utilization,broker_utilization
5,20,50.0,0.060287296753002144,0.0027624309392265192,0.12,0.12121212121212122
5,40,25.0,0.0994422110731335,0.02854006586169045,0.24,0.24242424242424243
5,60,16.666666666666668,0.1389509152595536,0.11991117690599556,0.36,0.3636363636363636
5,80,12.5,0.18860792757724176,0.5501618122977346,0.48,0.48484848484848486
5,100,10.0,0.23698488694426323,1.063069631790011,0.6,0.6060606060606061
5,120,8.333333333333334,0.327207072090764,2.9723132969034607,0.72,0.7272727272727272
5,140,7.142857142857142,0.5617834684130509,9.422842821339062,0.8400000000000002,0.8484848484848486
6,20,50.0,0.06027796294011546,0.0006906077348066298,0.1,0.10101010101010101
6,40,25.0,0.09940665348239676,0.008415660446395901,0.2,0.20202020202020202
6,60,16.666666666666668,0.13694449973309572,0.02853965900667161,0.3,0.30303030303030304
6,80,12.5,0.17675251382990395,0.10859896219421794,0.4,0.40404040404040403
6,100,10.0,0.22000722926479474,0.28897899004791744,0.5,0.5050505050505051
6,120,8.333333333333334,0.2718900570329762,0.8450496871549502,0.6,0.6060606060606061
6,140,7.142857142857142,0.34437043055664857,1.9835586408476433,0.7000000000000001,0.7070707070707072
6,160,6.25,0.44689913236869505,4.3613569321533925,0.8,0.8080808080808081
6,180,5.555555555555555,0.6800894491001411,10.598973607038124,0.9000000000000001,0.9090909090909093
7,20,50.0,0.060276084108982025,0.0,0.08571428571428572,0.08658008658008659
7,40,25.0,0.09961187225190363,0.0007209805335255948,0.17142857142857143,0.17316017316017318
7,60,16.666666666666668,0.1365703916898631,0.008218154650728428,0.2571428571428571,0.2597402597402597
7,80,12.5,0.17760082777887062,0.027727763773856683,0.34285714285714286,0.34632034632034636
7,100,10.0,0.22097354463013025,0.22612513721185512,0.42857142857142855,0.4329004329004329
7,120,8.333333333333334,0.2627448007659025,0.3875181422351234,0.5142857142857142,0.5194805194805194
7,140,7.142857142857142,0.31507931757687296,0.9268558951965066,0.6,0.6060606060606061
7,160,6.25,0.36533861501267073,1.3795754026354319,0.6857142857142857,0.6926406926406927
7,180,5.555555555555555,0.45895893504926033,3.2966714905933427,0.7714285714285715,0.7792207792207794
8,20,50.0,0.060276084108982025,0.0,0.075,0.07575757575757576
8,40,25.0,0.09961083021944554,0.0,0.15,0.15151515151515152
8,60,16.666666666666668,0.13742883045324167,0.0014820303816228233,0.22499999999999998,0.22727272727272727
8,80,12.5,0.17610726164051974,0.003966822935448973,0.3,0.30303030303030304
8,100,10.0,0.21636662215283922,0.04413347685683531,0.375,0.3787878787878788
8,120,8.333333333333334,0.25846292977485064,0.1381337252020573,0.44999999999999996,0.45454545454545453
8,140,7.142857142857142,0.3015834714743687,0.32749178532311063,0.525,0.5303030303030304
8,160,6.25,0.33605104999315644,0.46020369671821953,0.6,0.6060606060606061
8,180,5.555555555555555,0.42703192396767536,2.1555316091954024,0.675,0.6818181818181819
